Sıra No;Kitap Adı;Yazar Adı;Özgün Adı;Çevirmen;Serideki Yayın Yılı;Tanıtım Bülteni
48;"Phlebas'ı Hatırla";"Iain M. Banks";"Consider Phlebas";"M. Boran Evren";2019;"Hem spekülatif kurgu hem de ana akım edebiyat sahasında eserler veren Iain M. Banks, ütopyacı bilimkurguyu Kültür Serisi kitaplarıyla devasa bir oyun sahnesine taşısa da ideolojilerle ilgili derdini, tarihsel bakış açısını asla kaybetmedi. Her ne kadar kariyerindeki ilk büyük çıkışını 1984 yılında yayımlanan Eşekarısı Fabrikası adlı kitabıyla yakalasa da döneminin en önemli yazarlarından biri olmasını sağlayan eserleri bilimkurgularıydı. Phlebas'ı Hatırla ile başlayan Kültür Serisi ise birçoklarınca sadece uzay operasının değil bilimkurgunun en önemli yapıtlarından biri olarak kabul edilir.

Savaş galaksiye yayılmıştı. Kayıp milyarlarcaydı. Uydular, gezegenler, yıldızlar mahvoluşun eşiğindeydi. Hepsinin ardında ise tarihin başlangıcından beri birbiriyle kavgası devam eden fikirler vardı. İdirliler inançları için savaşıyorlardı; Kültür ise varoluş hakkını korumak için. Bu savaş prensiplerin savaşıydı. Teslim olmak söz konusu olamazdı.

Bu kozmik çatışmanın ortasında kalan ve bir Değişçin olan Horza ise belki de hayatının görevindeydi. Terk edilmiş bir Ölü Gezegeninin labirentlerinde, kaçak bir Zihin saklanıyordu. İdirliler de Kültür de sofistike bir yapay zekâ birimi olan Zihin'in peşindeydi. Horza makineler ve insanlardan oluşan bir mürettebatla o Zihin'i bulmak zorundaydı. Onun ve milyarların hayatı buna bağlıydı. Tek bir kişi koca bir galaksinin seyrini değiştirebilecek miydi?

Phlebas'ı Hatırla, cevabı kolay olmayan soruların kitabı."
49;"Leibowitz İçin Bir İlahi";"Walter M. Miller, Jr.";"A Canticle for Leibowitz";"Sönmez Güven";2019;"Walter M. Miller, Jr., sadece bilimkurgunun değil, tüm edebiyat tarihinin en sıradışı yazarlarından biri. Kariyerine bir öykücü olarak başlayan yazar, bir başyapıt olan ilk romanını yayımladıktan sonra yazarlığı bıraktı. Bu ilk roman, yani Leibowitz İçin Bir İlahi ise, pek çoklarınca bilimkurgunun en iyi romanı kabul edilmekle birlikte, kitabın tür içerisinde yazılmış en iyi ilk roman olduğu neredeyse kesin.

Nükleer savaş sonrasında dünyadaki yaşam neredeyse yok olmuştur. Ama nükleer savaşa giden yolda medeniyet halihazırda çökmeye başlamış, cehalet evrensel hale gelmiş ve kitaplar yakılmış, hatta okuma yazma bilenler öldürülmüştür.

Savaştan sağ kurtulan ve bu düzene karşı duran elektrik mühendisi Isaac Edward Leibowitz ise kitapları saklayarak, onları çoğaltarak ve ezberleyerek medeniyeti kurtarmayı amaçlamaktadır. Bu idealizmi sayesinde müritler edinen Leibowitz'in peşinden giden kardeşliği de onun kurtarabildiği bu bilgileri her ne olursa olsun korumaya yemin etmiştir. Bu olay üzerinden geçen yaklaşık 1800 yıllık bir süreçte hem dünya hem de Leibowitz'in mirası büyük değişimler geçirecek ama her şey bir o kadar da aynı kalacaktır."
50;"İşkencecinin Gölgesi";"Gene Wolfe";"The Shadow of the Torturer";"Kerem Sanatel";2019;"Bilimkurgunun Melville'i olarak bilinen Gene Wolfe, spekülatif edebiyatın sınırlarını zorlayan, fantaziden bilim ve bilimden de fantazi çıkarmayı başaran, türün her alanında eşit muazzamlıkta eserler veren ender yazarlardan biri. Wolfe'un başyapıtı, türün de en önemli serilerinden olan Yeni Güneş Kitabı ise hem bilimkurgunun hem de fantastiğin zirve noktalarından olmakla birlikte başlı başına bir edebiyat fenomeni.

Günümüzden yüz binlerce yıl sonrası. Ancak öyle bir gelecek ki geçmişten farkı yok. Bugüne ait kültür ve olaylar artık bir anı bile değil. Gezegen, beklenmedik ve gizemli biçimlerde değişimler geçirmiş. Güneş'in ömrünün sonu gelmiş, sönmekte.

Serinin ilk kitabı İşkencecinin Gölgesi'nde, artık Urth adıyla bilinen gezegende, İşkenceciler Loncası'nın bir çırağıyken kurbanına merhamet ederek mesleki günahların en büyüğünü işleyen genç Severian'ın sürgüne gönderilmesi, destansı hikâyesinin sadece başlangıcıydı.

Büyünün ve bilimin iç içe geçtiği ve artık birbirinden ayrılamadığı bu gizemlerle dolu yolculukta tarih ile gelecek, yalan ile gerçek birbirine karışırken değişmeyen, değişmediğini iddia eden tek kişi ise kusursuz hafızasıyla ve kadim kılıcı Terminus Est'le Severian olacaktır."
51;"Dünyaya Düşen Adam";"Walter Tevis";"The Man Who Fell to Earth";"Mehmet Ali Ağaoğulları";2020;"Walter Tevis, bilimkurgunun özünü çok iyi kavramış, çağının hem en asi hem de en yumuşak başlı yazarlarından biri. Yönetmen Nicolas Roeg'un 1976 yılında çektiği ve David Bowie'nin Newton karakterine hayat verdiği film uyarlaması, bilimkurgu sinemasının kült yapıtlarından biri olan Dünya'ya Düşen Adam ise yazarın en ünlü ve en düşünsel eseri.

Thomas Jerome Newton, halkının Dünyalılardan çok daha zeki olduğu Anthea adlı gezegenden kırık dökük bir uzay aracıyla Yerküre'ye gelen insansı bir uzaylıdır. Gezegeni nükleer savaş yüzünden yaşanmaz hale gelen Newton'ın amacı Dünya'da inşa edeceği uzay gemisiyle evine dönüp oradaki insanları yeni gezegenine taşımaktır.

Anthea'dan getirdiği yüksek teknoloji sayesinde servet yapıp işe koyulan Newton'ın bir uzaylı olduğundan halihazırda şüphelenen kimya profesörü Nathan Bryce'ın ilgisini, Newton'ın şirketinin piyasaya sürdüğü yeni ürünler daha da çok çekmeye başlar.

Ancak Dünya'da geçirdiği yıllar boyunca yavaş yavaş oranın canlılarına benzeyen Newton'ın amacına yönelik büyük tehlike ne Bryce ne de işin peşine düşen FBI'dır. Bu sıra dışı uzaylının tek bir düşmanı vardır: İnsanlaşmak.

Dünya'ya Düşen Adam, insan olmayanın içindeki insana bakış.

Ken MacLeod'un sonsözüyle..."
52;"Uzlaştırıcının Pençesi";"Gene Wolfe";"Claw of the Conciliator";"Kerem Sanatel";2020;"Bilimkurgunun Melville'i olarak bilinen Gene Wolfe, spekülatif edebiyatın sınırlarını zorlayan, fantaziden bilim ve bilimden de fantazi çıkarmayı başaran, türün her alanında eşit muazzamlıkta eserler veren ender yazarlardan biri. Wolfe'un dilin ve türün imkânlarını sonuna kadar kullandığı, bilimkurgunun Ulysess'i olarak da anılan Yeni Güneş Kitabı'nın ikinci cildi Uzlaştırıcının Pençesi de en az ilki kadar esrarengiz.

Günümüzden yüz binlerce yıl sonrası. Ancak öyle bir gelecek ki geçmişten farkı yok. Bugüne ait kültür ve olaylar artık bir anı bile değil. Gezegen, beklenmedik ve gizemli biçimlerde değişimler geçirmiş. Güneş'in ömrünün sonu gelmiş, sönmekte.

İşkenceci Severian'ın, sürgün edildiği Thrax şehrine yolculuğu devam ediyor. Severian'ın yanında, kadim bir nesne de var artık. Kimi zaman iyileştiren, kimi zaman sadece cılız bir ışık yayan Pençe.

Severian kılıcı Terminus Est kadar keskin bir çizginin üzerinde kaderini anlamaya çalışırken, sadakatini isteyen kuvvetlerin arasından is karası peleriniyle geçip gidecek. Önüne maymunsu canlılar çıkacak, sonunda bir başkasının hatıralarını tükettiği bir ayine katılacak ve başka âlemleri gösteren bir kitap konacak önüne. Güneş elbet bir gün ölecek. Ve Yeni Güneş elbet bir gün doğacak.

Uzlaştırıcının Pençesi, açığa çıkardığı kadar saklayan ışığın kitabı."
53;"Kallokain";"Karin Boye";"Kallocain";"Sevda Deniz Karali";2020;"Bir şair de olan Karin Boye hayatının son dönemini II. Dünya Savaşı'nın gölgesinde yaşadı. İşgal tehdidi altındaki ülkesi İsveç'te sansür, korku ve güvensizlik cenderesinde bir umut ışığı niyetine dünya edebiyatına bu distopyayı armağan etti. İnsan zihninin derinliklerine dair, totaliter gerçekliğe karşı ilaç olarak gördüğü bireyin savunusu olan Kallokain, Boye'nin son ve en önemli eseridir.

Cesur Yeni Dünya ile 1984 arasında bir tarihte kaleme alınan Kallokain'de sorun gerçekliktir. Dünyadevlet de diğer bütün devletler gibi halkı üzerinde tam bir egemenlik kurmuş, insanlara kendi gerçekliğini dayatmıştır. Askeri bir hiyerarşi üzerinde yükselen bu mekanizmada en büyük gurur ise, silah arkadaşlarına layık biri olarak hainliğe karşı en yakınından bile kuşkulanmaktır.

İyi bir silah arkadaşı olma amacındaki Leo Kall, insanları bildiklerini söylemeye mecbur bırakan bir ilaç geliştirir. Artık kimse hiçbir şey saklayamayacak, her yerde görev başında olan polis gözleri ve polis kulaklarına rağmen ihanet içinde olan hainler daha eyleme geçemeden birer birer ortaya çıkarılacaktır. Böylece kolektif kurumlar asosyal yatkınlıkların gizlendiği bütün köşeleri fethedecek ve devletin yüce birliği tamamlanacaktır.

Ancak Leo Kall gerçekleri söylemeye mecbur ettiği insanlardan duyduklarıyla başka türlü bir birliğin mümkün olabileceğine ve gücüyle, insanın içindeki bütün ölü kalıntıları iyileştirebileceğine dair bir şüpheye kapılır. Kallokain, gerçekliğin acı ilacı.

Hakan Bıçakcı'nın sunumuyla..."
54;"Kent";"Clifford Donald Simak";"City";"Kemal Baran Özbek";2020;"Onu diğer birçok bilimkurgu yazarından ayıran pastoral, nazik bir üsluba sahip olan Clifford D. Simak, bilimkurgunun altın çağının ürettiği ilk üstatlardan biri. Simak'ın en şöhretli kitaplarından olan ve birbirine bağlı öykülerden oluşan Kent ise yazarın fikir dünyasını en kapsamlı şekilde ortaya koyan eseri.

Milyonlarca yıl gelecekte, Köpek toplumu, İnsan denen mitolojik bir yaratık hakkındaki öykülere sahiptir. Köpekler, robot hizmetkârlarıyla beraber doğayla iç içe, barışçıl bir hayat sürmektedir. Kent ve savaş gibi şeyleri akla hayale sığmaz kavramlar olarak görürler. İnsanlar, birer masal kahramanıdır onlar için.

Ucuz atom enerjisi yaygınlaşmış, topraksız tarım geleneksel tarımın yerini almış, herkesin sahip olabileceği kişisel helikopter ve uçaklar sayesinde uzak mesafe diye bir şey kalmamıştır. İnsanların toplu halde yaşamasını gerektiren tüm unsurlar ortadan kalktığından kentler boşalmaya başlamıştır.

Önündeki engelleri bir bir yıkan İnsanlık, yeni ufuklara açılmaya hazırdır artık. Tüm bu gelişmelerin merkezinde ise insanlık tarihinde kilit bir rol oynayacak Webster ailesi bulunmaktadır. Webster ailesinin bireylerinin hikâyeleri, çok uzun bir zaman boyunca anlatılmaya devam edecektir.

Kent, geleceğin efsanelere dönüşmüş hali."
55;"Tanrının Gözündeki Zerre";"Larry Niven, Jerry Pournelle";"The Mote in God's Eye";"Kerem Sanatel";2020;"Larry Niven ile Jerry Pournelle bilimkurgu edebiyatının en sıradışı ikililerinden. Her iki yazarın da başyapıtı olarak gösterilen Tanrı'nın Gözündeki Zerre ise uzaylıyla ilk temas üzerine yazılan ve uzay operasını kökten değiştiren, çığır açıcı bir eser.

Dünya'dan altı yüz ışık yılı uzakta, gezegenimizden bakınca Samanyolu'nun güney kısmında isimlerinin hakkını veren bir bulutsu gezinir: Kömür Çuvalı Bulutsusu ya da diğer ismiyle Kapüşonlu Adam. Ve bu ""adam""ın karanlığın ortasındaki zifiri boşluğunda başka kimseye ait olamayacak kadar parlak bir güneş ışıldar: Tanrı'nın Gözü. Oradadır hep, milyarlarca yıldır sonsuz kâinatı seyreder.

3017 yılında Göz'den insanlara doğru yaklaşan bir nesne tespit edildiğinde insanlık, Dünya'dan çıkıp birçok başka gezegene yayılmış, bir dizi yıkım savaşını atlatmış ve ikinci bir galaktik imparatorluk kurmuştu. Ama imparatorluk asilerle ve yeni gezegenlere yayılmanın sıkıntılarıyla uğraşıyordu.

Neyse ki ışık yıllarını hızla aşmalarını sağlayan Alderson Sürücüsü ve gemileri bir yıldızın kalbindeyken dahi koruyabilen Langston Kalkanı gibi teknoloji ürünlerine sahiptiler. Yalnız henüz başka bir bilinçli varlıkla karşılaşmamışlardı. İşte Deli Edi, insanlığı tam da bu haldeyken yakaladı.

Tanrı'nın Gözündeki Zerre, insanlığa göz kırpan, aynadaki yansıma..."
56;"Ben, Efsane";"Richard Matheson";"I am Legend";"Özgen Berkol Doğan";2020;"Richard Matheson korku, gerilim, fantastik ve bilimkurgu türlerinin en üretken ve en yaratıcı isimlerinden, yalnızca edebiyatta değil sinemada da ardılı sanatçıları hatırı sayılır derecede etkilemiş bir usta. Ben, Efsane ise bilimkurguyla korkuyu harmanlayarak insanlığın batıl inançlarına mikroskopla bakan, yazarın en bilindik ve en düşünsel eseri.

Robert Neville dünyada kalan son insandı… ama yalnız değildi. Toz fırtınasıyla birlikte hızla yayılan bir salgın tüm insanları gece yaşayan kan emici birer yaratığa dönüştürmüştü. Bu salgından etkilenmeyen Neville ise gündüzleri vampirleri avlıyor, gece olup da yaratıklar ortaya çıkınca korunaklı evinde saklanarak hayatta kalmaya çalışıyordu.

Vampirizme neden olan mikrobu araştırarak durumu tersine çevirmeyi, hâlâ tam olarak dönüşmeyen insanları kurtarmayı amaçlayan Neville bir yandan paranoya, umutsuzluk ve yalnızlıkla mücadele ederken hayatta kalan tek insanın kendisi olmadığını öğrendiğinde geleceği tahmin edemeyeceği bir yola sapacaktı.

Vampirizm bir mit mi yoksa bilimle çözülebilecek bir hastalık mı? Bir hastalıksa tedavisi mümkün mü?

Ben, Efsane, insanın mitleşme hikâyesi..."
57;"Dune Sapkınları";"Frank Herbert";"Heretics of Dune";"Dost Körpe";2020;"Frank Herbert, deneylerden çok deneysel yaklaşımların had safhaya ulaştığı, tür içerisindeki ""iyi edebiyat iyi edebiyattır""cıları bir araya getiren yeni dalga bilimkurgu akımının en önemli temsilcilerinden. Türün tüm olanaklarını, suyunu çıkarana kadar kullandığı Dune serisinin beşinci kitabı Dune Sapkınları, inanç ve inançsızlık arasındaki çizgiyi soluklaştıran, epik serinin sonuna bir kala taşları yerinden oynatan bir eser.

Tanrı İmparator II. Leto'nun üç bin beş yüz yıla yakın süren hükümdarlığının son bulmasının üstünden bin beş yüz yıl geçti. Altın Yol için yaptığı bu fedakârlıktan sonra insanlar II. Leto'nun ""gerçekten de"" ölüp ölmediğinden hâlâ emin değillerdi ve İmparatorluk harap olsa da Altın Yol'u sıkı sıkıya takip etmeye devam edeceklerdi.

Büyük Saçılma sonucu milyonlarca insan parçalanan medeniyeti terk ederek uzayın bilinmeyen köşelerine dağılmışlardı. Artık Rakis denen Arrakis yine çölleşmişti ve kum solucanları ölmekteydi. Bu sırada, Kayıp Olanlar gücü ellerine geçirmek için geri dönmüştü. Hizipler, İmparatorluk'tan arta kalanın kontrolünü ele geçirmek için yarışırken Rakis'te Sheeana adında bir kız tüm dikkatleri üstüne çekmişti çünkü son Tanrı İmparator'un bahsettiği kehaneti gerçekleştirebiliyordu: Kum solucanlarını kontrol etmek.

Tüm bunlar olurken Bene Geseritler'in önünde iki seçenek vardı: Ya gizli manipülatörler olarak, hayatta kalmaya çabalayan insanlığın aynı yolda ilerlemesini yönlendirmeye devam edip gerilimi azaltacak ya da Altın Yol'u kabul edip insanlığı yok olma tehlikesinden uzak yeni bir geleceğe götüreceklerdi."
58;"Yokuştaki Salyangoz";"Arkadi ve Boris Strugatsky";"Ulitka na Sklone";"Hazal Yalın";2020;"Arkadi ve Boris Strugatski, entelektüel açıdan kışkırtıcı, inanılmaz eğlenceli, cesur ve eleştirel kitaplarıyla ""Sovyetler döneminin en büyük bilimkurgu yazarları"" sıfatını hak eden yegâne ikili. Yokuştaki Salyangoz ise, Strugatski kardeşlerin az bilinen başyapıtlarından fakat onlara göre eserlerinin ""en kusursuzu ve yazdıkları arasında en önemlisi.""

Biber, günlerini aşağıdaki ormanın yönetimini sağlayan İdare'nin bürokratik koridorlarında geçirmektedir. Bir dilbilimci olan Biber'in dileği ormana girmektir fakat İdare tarafından bu talebi sürekli reddedilmektedir. Öte yandan, her gün ""yarın"" geleceği söylenen araba gelip onu almadığı için İdare binasında sıkışıp kalmıştır. Biber'in de tek yapabildiği, yamacın tepesindeki İdare'de oturup ormanı seyretmektir.

Candide ise yıllar önce bir helikopter kazasından canlı kurtulan bir İdare memurudur. Orman'ın yerlileri tarafından sahiplenilen Candide, yerliler arasında basit hayat sürmektedir. Ancak Candide'in tek istediği İdare'ye geri dönebilmektir. Yerliler ormanın tehlikeleri hakkında onu uyarsalar da Candide her gece yatarken ""yarın"" tepedeki İdare'ye doğru yola çıkma planları yapmaktadır.

İnsan, çevresini ne kadar tanıyabilir? Daha da önemlisi, insan doğaya hükmedebilir mi?

Yokuştaki Salyangoz, şimdiyle geleceğin arasındaki tehlikeli yolculuk."
59;"Dune Rahibeler Meclisi";"Frank Herbert";"Chapterhouse: Dune";"Dost Körpe";2020;"Frank Herbert, deneylerden çok deneysel yaklaşımların had safhaya ulaştığı, tür içerisindeki ""iyi edebiyat iyi edebiyattır""cıları bir araya getiren yeni dalga bilimkurgu akımının en önemli temsilcilerinden. Türün tüm olanaklarını, suyunu çıkarana kadar kullandığı Dune serisinin altıncı ve son kitabı Dune Rahibeler Meclisi, felsefe dozu yüksek, her bir cümlesi akılda yer eden, epik serinin ününe yaraşır bir final.

Dune adıyla bilinen Arrakis gezegeni yok edilmişti. Maderşahi örgüt Saygın Analar, Eski İmparatorluk'tan geriye kalanları yakıp kül ediyordu. Mutlak fetihlerinin önünde duran tek bir güç kalmıştı geriye: Bene Gesserit.

Başrahibe Ana Darwi Odrade'nin önderlik ettiği Bene Gesseritler, yeşilliklerle dolu Rahibeler Meclisi gezegeni adım adım bir çöle dönüştürüyordu. Amaçları, kum solucanları için ideal bir ortam yaratmak ve evrendeki en önemli maddenin üretimini kontrol etmekti: melanjın.

Saygın Analar ise, önlerine çıkan her gezegeni yok ederek Rahibeler Meclisi'ne yaklaşıyordu. Bene Gesserit'ten güçlü olan, Dağılış'tan dönen bu acımasız tarikat karşısında çaresiz durumdaki Rahibeler Birliği'nin elinde tek bir silah vardı artık. Paul Muad'Dib'e ve Tanrı İmparator'a hizmet etmiş biri: Duncan Idaho.

Dune Rahibeler Meclisi, inancın kadere üstün gelme mücadelesi."
60;"1984";"George Orwell";"Nineteen Eighty-Four";"Begüm Kovulmaz";2021;"George Orwell yazdığı kitaplar ve denemelerin yanı sıra kişiliği, ideolojisi ve yaptıklarıyla da 20. yüzyıla damga vuran, hatta çağımızı değiştiren bir isim. Orwell'in maharetleri her ne kadar kitaplarıyla sınırlı olmasa da başyapıtı 1984 sadece distopya edebiyatında değil, dünya edebiyatında bir mihenk taşı.

Yıl 1984. Savaş ve devrimden sonra değişmiş, tanınmayacak halde bir dünya. Bu dünyayı kontrol eden üç büyük ülke: Okyanusya, Avrasya ve Şarkasya. Okyanusya'da iktidarı elinde tutan Parti. Parti'nin sureti Büyük Birader. Herkesin gece gündüz, adım adım izlendiği bir düzen. Eylemleri ve hatta düşünceleri kontrol altında tutan Düşünce Polisi. Winston Smith, bu totaliter düzen içinde, Hakikat Bakanlığı'nın Arşiv Bölümü'nde çalışıp büyük bir özenle geçmişi Parti adına yeniden yazmaktaydı. Ancak içten içe özgürlük ve sisteme karşı başkaldırma hayalleri kuruyordu. Kendisi gibi düşünen, Parti'yi çökertmek isteyen başkalarının olduğuna da emindi.

Kendisiyle aynı uğurda savaşan yoldaşlarından birine âşık olup en büyük yasaklardan birini çiğneyen Winston, bu isyanında savaşın, özgürlüğün ve cehaletin ne anlama geldiğini, bireyselliğin bedelinin ne olduğunu, iktidarın sınırlarının nereye kadar uzandığını zor yoldan öğrenecekti.

1984, özgürlüğün ve özgünlüğün karabasanı."
61;"Hayvan Çiftliği";"George Orwell";"Animal Farm";"Begüm Kovulmaz";2021;"George Orwell yazdığı kitaplar ve denemelerin yanı sıra kişiliği, ideolojisi ve yaptıklarıyla da 20. yüzyıla damga vuran, hatta çağımızı değiştiren bir isim. Orwell'in maharetleri her ne kadar kitaplarıyla sınırlı olmasa daHayvan Çiftliği, siyasi hiciv geleneğinin ve distopyanın çağımızdaki en iyi örneklerinden biri.

Kurgusal bir dünya. Eşitlikten uzak bir düzen. Bir tarafta açgözlü, dik kafalı, hırslı insanlar. Diğer tarafta ise insanların anlayıştan uzak, kötücül yönetiminden usanmış, ezilen hayvanlar. İki tür arasındaki savaşın kıvılcımlandığı bir çiftlik. Bu çiftlikte bilinçlenip kendilerini geliştirerek tüm hayvanları insanların zorbalığından kurtarmayı amaçlayan bir hayvan topluluğu. Büyük bir iktidar savaşı.

Konak Çiftliği'ndeki hayvanlar, sahipleri Bay Jones'un tahakkümünden kurtulup kontrolü ele geçirdiklerinde özgürlük ve eşitliğe dayanan bir gelecek hayaline kapılmışlardı. Bay Jones çiftliğini geri almak için planlar yaparken Kartopu ve Napolyon adlı domuzların liderliğindeki hayvanlar da çiftliğin düzenini süratle ""insani"" bir seviyeye çekmeye başlamıştı.

Hayvanlar her ne kadar domuzların izinden gitse de kurdukları düzen demokratikti. En nihayetinde tüm hayvanlar eşitti. Ama gerçekten öyle miydi? İnsanların rolünü üstlenmeye başlayan domuzlar günbegün gücü ele alacak, hayvanlar ise otorite sahipleri değişse de otoritenin değişmediğini göreceklerdi.

Hayvan Çiftliği, tiranlığın sonu gelmez döngüsü."
62;"Makine Yazı";"John Crowley";"Engine Summer";"Sevda Deniz Karali";2021;"John Crowley, bilimkurgu edebiyatında kendine has, ""kişilikli"" bir sesi olan, her bir karakteri ise farklı seslere sahip, yaşayan en iyi spekülatif kurgu yazarlarından. Post-holokost bir dünyanın naif ve sırlarla örülü portresini çizdiği Makine Yazıise masalsı bir arayış romanı.

Dünya'daki canlı yaşamını neredeyse sona erdiren, ""Fırtına"" adıyla anılan afetten bin yıl sonrasında eski medeniyetin azizlerle, her şeyi mümkün kılan teknolojileriyle ve kendilerini yok eden kibirleriyle dolu hikâyelerini dinleyerek büyüyen Konuşan Saz, az sayıda insanın yaşadığı, labirenti andıran, görünmez ve değişken sınırlara sahip Küçük Belaire'de ""Gerçeği Konuşanlar"" topluluğuna dahildi.

Topluluğun dışına çıkmak ve bir aziz olmayı öğrenmek en büyük arzusuydu. Âşık olduğu ve Fısıltı mezhebine dahil Günde Bir Kez adlı kız, Dr. Boots'un Listesi isimli tuhaf bir toplulukla birlikte Küçük Belaire'den ayrılınca onu takip etmek için Saz da yolculuğa çıktı.

Saz'ın azizlik arayışı uzak geçmişe, yeryüzünü terk ederek bulutların üstünde yaşamaya başlayan teknolojik açıdan gelişmiş ""melekler""e, şu anki dünyanın müsebbibi çağlar süren kazalar ve felaketler serisine dair bir arayışa dönüşecekti.

Makine Yazı, geçmişin, şimdinin ve geleceğin melankolik yankısı."
63;"Hava Adamı Ariel";"Aleksandr Belyaev";"Ариэль";"Lütfiye Pehlivan";2021;"Aleksandr Belyaev, Sovyet döneminin en saygı duyulan bilimkurgu yazarlarından. Sovyetler'in Jules Verne'i olarak da anılan Belyaev, yayımlanan son romanı Hava Adamı Ariel'de okuru bu kez gökyüzüne çıkarıp insanüstü güçlere sahip kahramanlarına bir yenisini ekliyor.

Bebek yaşta ailesinden ve vatanından koparılıp Hindistan'da okültist bir okula kapatılan Ariel, burada insanları kandırmak üzere girişilen mucizevi bir deneyin kurbanı olur. Ariel yeni güçleriyle hem dünyanın adaletsiz yapısını hem de gerçekte kim olduğunu öğreneceği bir serüvene atılır.

Yuvasına varmak için dünyanın öbür ucuna gitmek zorunda kaldığı bu yolculuğunda, kimsenin yaklaşmak istemediği paryalarla, zalim ve kudretli rajalarla, her yerde kâr kovalayan Amerikalı milyonerlerle karşılaşan Ariel aşk ve arkadaşlıkla da tanışacaktır.Çıkar uğruna hem insanları hem de inançları sömüren bir dünyada saflığın ne kadar hayatta kalabileceğini sorgulayan roman, acımasız dünya düzenine hüzünlü bir şekilde yaklaşıyor.

Hava Adamı Ariel, güneşe yakın uçmaktan korkmayanların romanı."
64;"Houston, Houston Duyuyor musun?";"James Tiptree, Jr.";"Houston, Houston Do You Read?";"Begüm Kovulmaz";2021;"Alice B. Sheldon 1967 yılında James Tiptree, Jr. adıyla bilimkurgu yazmaya başladığında kimse onun bir kadın olduğunu bilmiyordu. Gerçek ortaya çıktığında ise insanlar ne şaşkınlıklarını gizleyebilmiş ne de yazarı takdir etmekten kendilerini alabilmişti. Ötekilikten cinsiyete, gerçeğin yanıltıcılığından insanın evrendeki yerine kadar pek çok konudaki eseri arasında muhtemelen en önemlisi olan Houston, Houston Duyuyor Musun?'da Tiptree feminist ütopyanın temel metinlerinden birine imza atıyor.

İnsanlık tarihinde Güneş'e gerçekleşen ilk sefer. Bu seferden başarıyla dönen Güneşkuşu ve üç kişilik mürettebatı. Beklenmedik şekilde uzayan bir rota. Telsizin diğer ucunda tüm iletişim girişimlerini yanıtsız bırakan Houston. Sinyallerini yakalayıp iletişime geçen başka bir uzay aracı.

Erkeklerden oluşan ve araçları hasar aldığı için tahmini bir rotayla Dünya'ya dönmeye çalışan astronotlar, mürettebatı kadınlardan oluşan bir uzay gemisiyle derin uzayda karşılaştığında dehşet ve umut karışımı bir hisse kapılır.

Bu yabancı gemidekiler, Güneşkuşu'nun yüzyıllar önce kaybolduğunu söyler. Belli ki karşılarında onları kandırmak isteyen başka astronotlar ya da uzaylılar vardır. Ama ya söyledikleri doğruysa ve geride bıraktıkları hayat artık tarih olduysa?

Birkaç yüzyılda Dünya ne kadar değişebilir? Değişime uyum sağlanabilir mi?

Houston, Houston Duyuyor Musun?, bakış açılarının kırılganlığına dair sert bir kanıt."
65;"İşte Tanrılar";"Isaac Asimov";"The Gods Themselves";"Cihan Karamancı";2021;"Isaac Asimov, bilimin içinden gelip bilimkurguda devrim yapan, bilimkurgunun üç büyük ustasından biri. İşte Tanrılar ise Asimov'un bağımsız bilimkurgu romanlarının zirvesi, yazarın kendi tabiriyle ""bilimkurgudaki en iyi uzaylı tasvirini barındıran, ayrıca yazıp yazabileceğim en iyi metin.""

Yirmi ikinci yüzyıl. Dünya, Elektron Pompası'nın icadıyla sınırsız ve bedava enerjiye ulaşmış durumda. İnsanlığın hayallerini gerçekleştirmesi ve gelişmesinin önünde neredeyse hiç engel yok. Bu başarının arkasında ise Dünya ile kendi paralel evrenleri arasında madde değişimi yapabilen uzaylılar var.

Her ne kadar bedava olsa da bu enerji bedelden yoksun değil. Ne insanların ne de uzaylıların öngörebildiği bir felaket yakında: Güneş'in ve Dünya'nın tümüyle yıkımı.

Bu felaketin farkında olan sadece birkaç kişi var: Dünyalı bir sürgün bilim insanı, ölen bir gezegende yaşayan asi bir uzaylı, Ay'da doğmuş ve geleceğe dair tutarlı tahminleri olan bir Sezgici. Onların söylediklerine inanan kimse olmasa da evrenlerin kurtuluşu bu üçlünün ellerinde.

İşte Tanrılar, çabaları nafile olmayanların kitabı."
